/raid/sindhuramrutha/sindhu_code_repo/mu-wave-desynchronization/notebooks/sweep_train.py:120: UserWarning: No PYTORCH_KERNEL_CACHE_PATH or HOME environment variable set! This disables kernel caching. (Triggered internally at /pytorch/aten/src/ATen/native/cuda/jit_utils.cpp:1471.)
  psi_L = torch.angle(z_L_now.mean(dim=1, keepdim=True))
[lr0.0003_k0.5_osc50_vh32] Epoch 0181 | Train 0.000047 | Val 0.000060 | TF 0.3494 | best 0.000060@181
[lr0.0003_k0.5_osc50_vh32] Epoch 0182 | Train 0.000047 | Val 0.000066 | TF 0.3458 | best 0.000060@181
[lr0.0003_k0.5_osc50_vh32] Epoch 0183 | Train 0.000047 | Val 0.000060 | TF 0.3422 | best 0.000060@181
[lr0.0003_k0.5_osc50_vh32] Epoch 0184 | Train 0.000046 | Val 0.000058 | TF 0.3386 | best 0.000058@184
[lr0.0003_k0.5_osc50_vh32] Epoch 0185 | Train 0.000046 | Val 0.000061 | TF 0.3349 | best 0.000058@184
[lr0.0003_k0.5_osc50_vh32] Epoch 0186 | Train 0.000048 | Val 0.000064 | TF 0.3313 | best 0.000058@184
[lr0.0003_k0.5_osc50_vh32] Epoch 0187 | Train 0.000047 | Val 0.000063 | TF 0.3277 | best 0.000058@184
[lr0.0003_k0.5_osc50_vh32] Epoch 0188 | Train 0.000046 | Val 0.000062 | TF 0.3241 | best 0.000058@184
[lr0.0003_k0.5_osc50_vh32] Epoch 0189 | Train 0.000045 | Val 0.000053 | TF 0.3205 | best 0.000053@189
[lr0.0003_k0.5_osc50_vh32] Epoch 0190 | Train 0.000046 | Val 0.000056 | TF 0.3169 | best 0.000053@189
[lr0.0003_k0.5_osc50_vh32] Epoch 0191 | Train 0.000045 | Val 0.000061 | TF 0.3133 | best 0.000053@189
[lr0.0003_k0.5_osc50_vh32] Epoch 0192 | Train 0.000044 | Val 0.000055 | TF 0.3096 | best 0.000053@189
[lr0.0003_k0.5_osc50_vh32] Epoch 0193 | Train 0.000043 | Val 0.000055 | TF 0.3060 | best 0.000053@189
[lr0.0003_k0.5_osc50_vh32] Epoch 0194 | Train 0.000042 | Val 0.000058 | TF 0.3024 | best 0.000053@189
[lr0.0003_k0.5_osc50_vh32] Epoch 0195 | Train 0.000042 | Val 0.000053 | TF 0.2988 | best 0.000053@195
[lr0.0003_k0.5_osc50_vh32] Epoch 0196 | Train 0.000042 | Val 0.000050 | TF 0.2952 | best 0.000050@196
